variant,path,doc_id,page,family,window,width,height,pixels,bytes,source_pdf
dpi100,data/perturbed/dpi100/hk_annual_old_01797_2025-09-17_p241.png,hk_annual_old_01797_2025-09-17,241,hk_annual,old,827,1123,928721,136088,data/corpus/hk_annual/hk_annual_old_01797_2025-09-17.pdf
jpeg30,data/perturbed/jpeg30/hk_annual_old_01797_2025-09-17_p241.jpg,hk_annual_old_01797_2025-09-17,241,hk_annual,old,2481,3367,8353527,245368,data/corpus/hk_annual/hk_annual_old_01797_2025-09-17.pdf
rot2,data/perturbed/rot2/hk_annual_old_01797_2025-09-17_p241.png,hk_annual_old_01797_2025-09-17,241,hk_annual,old,2481,3367,8353527,1284372,data/corpus/hk_annual/hk_annual_old_01797_2025-09-17.pdf
photocopy,data/perturbed/photocopy/hk_annual_old_01797_2025-09-17_p241.png,hk_annual_old_01797_2025-09-17,241,hk_annual,old,1241,1684,2089844,3778546,data/corpus/hk_annual/hk_annual_old_01797_2025-09-17.pdf
dpi150,data/perturbed/dpi150/hk_interim_new_02105_2026-09-18_p2.png,hk_interim_new_02105_2026-09-18,2,hk_interim,new,1241,1684,2089844,103352,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_interim_new_02105_2026-09-18_p2.png,hk_interim_new_02105_2026-09-18,2,hk_interim,new,827,1123,928721,61489,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_interim_new_02105_2026-09-18_p2.jpg,hk_interim_new_02105_2026-09-18,2,hk_interim,new,2481,3367,8353527,198430,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_interim_new_02105_2026-09-18_p2.png,hk_interim_new_02105_2026-09-18,2,hk_interim,new,2481,3367,8353527,489549,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_interim_new_02105_2026-09-18_p2.png,hk_interim_new_02105_2026-09-18,2,hk_interim,new,1241,1684,2089844,3616936,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_interim_new_02105_2026-09-18_p52.png,hk_interim_new_02105_2026-09-18,52,hk_interim,new,1241,1684,2089844,226920,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_interim_new_02105_2026-09-18_p52.png,hk_interim_new_02105_2026-09-18,52,hk_interim,new,827,1123,928721,137161,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_interim_new_02105_2026-09-18_p52.jpg,hk_interim_new_02105_2026-09-18,52,hk_interim,new,2481,3367,8353527,325501,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_interim_new_02105_2026-09-18_p52.png,hk_interim_new_02105_2026-09-18,52,hk_interim,new,2481,3367,8353527,1244126,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_interim_new_02105_2026-09-18_p52.png,hk_interim_new_02105_2026-09-18,52,hk_interim,new,1241,1684,2089844,3793796,data/corpus/hk_interim/hk_interim_new_02105_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_interim_new_02508_2026-09-20_p47.png,hk_interim_new_02508_2026-09-20,47,hk_interim,new,1241,1684,2089844,321557,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
dpi100,data/perturbed/dpi100/hk_interim_new_02508_2026-09-20_p47.png,hk_interim_new_02508_2026-09-20,47,hk_interim,new,827,1123,928721,192536,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
jpeg30,data/perturbed/jpeg30/hk_interim_new_02508_2026-09-20_p47.jpg,hk_interim_new_02508_2026-09-20,47,hk_interim,new,2481,3367,8353527,342741,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
rot2,data/perturbed/rot2/hk_interim_new_02508_2026-09-20_p47.png,hk_interim_new_02508_2026-09-20,47,hk_interim,new,2481,3367,8353527,1551016,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
photocopy,data/perturbed/photocopy/hk_interim_new_02508_2026-09-20_p47.png,hk_interim_new_02508_2026-09-20,47,hk_interim,new,1241,1684,2089844,3946130,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
dpi150,data/perturbed/dpi150/hk_interim_new_02508_2026-09-20_p48.png,hk_interim_new_02508_2026-09-20,48,hk_interim,new,1241,1684,2089844,228610,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
dpi100,data/perturbed/dpi100/hk_interim_new_02508_2026-09-20_p48.png,hk_interim_new_02508_2026-09-20,48,hk_interim,new,827,1123,928721,138092,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
jpeg30,data/perturbed/jpeg30/hk_interim_new_02508_2026-09-20_p48.jpg,hk_interim_new_02508_2026-09-20,48,hk_interim,new,2481,3367,8353527,296756,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
rot2,data/perturbed/rot2/hk_interim_new_02508_2026-09-20_p48.png,hk_interim_new_02508_2026-09-20,48,hk_interim,new,2481,3367,8353527,1140524,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
photocopy,data/perturbed/photocopy/hk_interim_new_02508_2026-09-20_p48.png,hk_interim_new_02508_2026-09-20,48,hk_interim,new,1241,1684,2089844,3870475,data/corpus/hk_interim/hk_interim_new_02508_2026-09-20.pdf
dpi150,data/perturbed/dpi150/hk_interim_new_06675_2026-09-18_p2.png,hk_interim_new_06675_2026-09-18,2,hk_interim,new,1241,1684,2089844,302220,data/corpus/hk_interim/hk_interim_new_06675_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_interim_new_06675_2026-09-18_p2.png,hk_interim_new_06675_2026-09-18,2,hk_interim,new,827,1123,928721,305735,data/corpus/hk_interim/hk_interim_new_06675_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_interim_new_06675_2026-09-18_p2.jpg,hk_interim_new_06675_2026-09-18,2,hk_interim,new,2481,3367,8353527,213403,data/corpus/hk_interim/hk_interim_new_06675_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_interim_new_06675_2026-09-18_p2.png,hk_interim_new_06675_2026-09-18,2,hk_interim,new,2481,3367,8353527,1859202,data/corpus/hk_interim/hk_interim_new_06675_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_interim_new_06675_2026-09-18_p2.png,hk_interim_new_06675_2026-09-18,2,hk_interim,new,1241,1684,2089844,3785227,data/corpus/hk_interim/hk_interim_new_06675_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_interim_old_01003_2025-09-19_p21.png,hk_interim_old_01003_2025-09-19,21,hk_interim,old,1241,1684,2089844,362862,data/corpus/hk_interim/hk_interim_old_01003_2025-09-19.pdf
dpi100,data/perturbed/dpi100/hk_interim_old_01003_2025-09-19_p21.png,hk_interim_old_01003_2025-09-19,21,hk_interim,old,827,1123,928721,210209,data/corpus/hk_interim/hk_interim_old_01003_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/hk_interim_old_01003_2025-09-19_p21.jpg,hk_interim_old_01003_2025-09-19,21,hk_interim,old,2481,3367,8353527,310901,data/corpus/hk_interim/hk_interim_old_01003_2025-09-19.pdf
rot2,data/perturbed/rot2/hk_interim_old_01003_2025-09-19_p21.png,hk_interim_old_01003_2025-09-19,21,hk_interim,old,2481,3367,8353527,1710925,data/corpus/hk_interim/hk_interim_old_01003_2025-09-19.pdf
photocopy,data/perturbed/photocopy/hk_interim_old_01003_2025-09-19_p21.png,hk_interim_old_01003_2025-09-19,21,hk_interim,old,1241,1684,2089844,3802090,data/corpus/hk_interim/hk_interim_old_01003_2025-09-19.pdf
dpi150,data/perturbed/dpi150/hk_kyc_new_06199_2026-09-20_p1.png,hk_kyc_new_06199_2026-09-20,1,hk_kyc,new,1241,1754,2176714,251917,data/corpus/hk_kyc/hk_kyc_new_06199_2026-09-20.pdf
dpi100,data/perturbed/dpi100/hk_kyc_new_06199_2026-09-20_p1.png,hk_kyc_new_06199_2026-09-20,1,hk_kyc,new,827,1170,967590,165232,data/corpus/hk_kyc/hk_kyc_new_06199_2026-09-20.pdf
jpeg30,data/perturbed/jpeg30/hk_kyc_new_06199_2026-09-20_p1.jpg,hk_kyc_new_06199_2026-09-20,1,hk_kyc,new,2481,3508,8703348,330046,data/corpus/hk_kyc/hk_kyc_new_06199_2026-09-20.pdf
rot2,data/perturbed/rot2/hk_kyc_new_06199_2026-09-20_p1.png,hk_kyc_new_06199_2026-09-20,1,hk_kyc,new,2481,3508,8703348,1270352,data/corpus/hk_kyc/hk_kyc_new_06199_2026-09-20.pdf
photocopy,data/perturbed/photocopy/hk_kyc_new_06199_2026-09-20_p1.png,hk_kyc_new_06199_2026-09-20,1,hk_kyc,new,1241,1754,2176714,3941645,data/corpus/hk_kyc/hk_kyc_new_06199_2026-09-20.pdf
dpi150,data/perturbed/dpi150/hk_kyc_new_09699_2026-09-18_p2.png,hk_kyc_new_09699_2026-09-18,2,hk_kyc,new,1241,1654,2052614,94737,data/corpus/hk_kyc/hk_kyc_new_09699_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_kyc_new_09699_2026-09-18_p2.png,hk_kyc_new_09699_2026-09-18,2,hk_kyc,new,827,1103,912181,62757,data/corpus/hk_kyc/hk_kyc_new_09699_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_kyc_new_09699_2026-09-18_p2.jpg,hk_kyc_new_09699_2026-09-18,2,hk_kyc,new,2481,3308,8207148,241616,data/corpus/hk_kyc/hk_kyc_new_09699_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_kyc_new_09699_2026-09-18_p2.png,hk_kyc_new_09699_2026-09-18,2,hk_kyc,new,2481,3308,8207148,609434,data/corpus/hk_kyc/hk_kyc_new_09699_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_kyc_new_09699_2026-09-18_p2.png,hk_kyc_new_09699_2026-09-18,2,hk_kyc,new,1241,1654,2052614,3562022,data/corpus/hk_kyc/hk_kyc_new_09699_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_kyc_new_09982_2026-09-18_p2.png,hk_kyc_new_09982_2026-09-18,2,hk_kyc,new,1241,1654,2052614,92342,data/corpus/hk_kyc/hk_kyc_new_09982_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_kyc_new_09982_2026-09-18_p2.png,hk_kyc_new_09982_2026-09-18,2,hk_kyc,new,827,1103,912181,64540,data/corpus/hk_kyc/hk_kyc_new_09982_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_kyc_new_09982_2026-09-18_p2.jpg,hk_kyc_new_09982_2026-09-18,2,hk_kyc,new,2481,3308,8207148,246790,data/corpus/hk_kyc/hk_kyc_new_09982_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_kyc_new_09982_2026-09-18_p2.png,hk_kyc_new_09982_2026-09-18,2,hk_kyc,new,2481,3308,8207148,558049,data/corpus/hk_kyc/hk_kyc_new_09982_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_kyc_new_09982_2026-09-18_p2.png,hk_kyc_new_09982_2026-09-18,2,hk_kyc,new,1241,1654,2052614,3560484,data/corpus/hk_kyc/hk_kyc_new_09982_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_kyc_old_00347_2025-09-19_p1.png,hk_kyc_old_00347_2025-09-19,1,hk_kyc,old,1241,1754,2176714,233433,data/corpus/hk_kyc/hk_kyc_old_00347_2025-09-19.pdf
dpi100,data/perturbed/dpi100/hk_kyc_old_00347_2025-09-19_p1.png,hk_kyc_old_00347_2025-09-19,1,hk_kyc,old,827,1170,967590,152296,data/corpus/hk_kyc/hk_kyc_old_00347_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/hk_kyc_old_00347_2025-09-19_p1.jpg,hk_kyc_old_00347_2025-09-19,1,hk_kyc,old,2481,3508,8703348,352107,data/corpus/hk_kyc/hk_kyc_old_00347_2025-09-19.pdf
rot2,data/perturbed/rot2/hk_kyc_old_00347_2025-09-19_p1.png,hk_kyc_old_00347_2025-09-19,1,hk_kyc,old,2481,3508,8703348,1340720,data/corpus/hk_kyc/hk_kyc_old_00347_2025-09-19.pdf
photocopy,data/perturbed/photocopy/hk_kyc_old_00347_2025-09-19_p1.png,hk_kyc_old_00347_2025-09-19,1,hk_kyc,old,1241,1754,2176714,3938117,data/corpus/hk_kyc/hk_kyc_old_00347_2025-09-19.pdf
dpi150,data/perturbed/dpi150/hk_kyc_old_00472_2025-09-19_p1.png,hk_kyc_old_00472_2025-09-19,1,hk_kyc,old,1241,1754,2176714,224864,data/corpus/hk_kyc/hk_kyc_old_00472_2025-09-19.pdf
dpi100,data/perturbed/dpi100/hk_kyc_old_00472_2025-09-19_p1.png,hk_kyc_old_00472_2025-09-19,1,hk_kyc,old,827,1170,967590,146810,data/corpus/hk_kyc/hk_kyc_old_00472_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/hk_kyc_old_00472_2025-09-19_p1.jpg,hk_kyc_old_00472_2025-09-19,1,hk_kyc,old,2481,3508,8703348,339604,data/corpus/hk_kyc/hk_kyc_old_00472_2025-09-19.pdf
rot2,data/perturbed/rot2/hk_kyc_old_00472_2025-09-19_p1.png,hk_kyc_old_00472_2025-09-19,1,hk_kyc,old,2481,3508,8703348,1225407,data/corpus/hk_kyc/hk_kyc_old_00472_2025-09-19.pdf
photocopy,data/perturbed/photocopy/hk_kyc_old_00472_2025-09-19_p1.png,hk_kyc_old_00472_2025-09-19,1,hk_kyc,old,1241,1754,2176714,3914345,data/corpus/hk_kyc/hk_kyc_old_00472_2025-09-19.pdf
dpi150,data/perturbed/dpi150/hk_kyc_old_01661_2025-09-19_p2.png,hk_kyc_old_01661_2025-09-19,2,hk_kyc,old,1241,1754,2176714,78291,data/corpus/hk_kyc/hk_kyc_old_01661_2025-09-19.pdf
dpi100,data/perturbed/dpi100/hk_kyc_old_01661_2025-09-19_p2.png,hk_kyc_old_01661_2025-09-19,2,hk_kyc,old,827,1170,967590,52762,data/corpus/hk_kyc/hk_kyc_old_01661_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/hk_kyc_old_01661_2025-09-19_p2.jpg,hk_kyc_old_01661_2025-09-19,2,hk_kyc,old,2481,3508,8703348,192539,data/corpus/hk_kyc/hk_kyc_old_01661_2025-09-19.pdf
rot2,data/perturbed/rot2/hk_kyc_old_01661_2025-09-19_p2.png,hk_kyc_old_01661_2025-09-19,2,hk_kyc,old,2481,3508,8703348,404268,data/corpus/hk_kyc/hk_kyc_old_01661_2025-09-19.pdf
photocopy,data/perturbed/photocopy/hk_kyc_old_01661_2025-09-19_p2.png,hk_kyc_old_01661_2025-09-19,2,hk_kyc,old,1241,1754,2176714,3737900,data/corpus/hk_kyc/hk_kyc_old_01661_2025-09-19.pdf
dpi150,data/perturbed/dpi150/hk_prospectus_new_03516_2026-09-18_p5.png,hk_prospectus_new_03516_2026-09-18,5,hk_prospectus,new,1241,1754,2176714,145165,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_prospectus_new_03516_2026-09-18_p5.png,hk_prospectus_new_03516_2026-09-18,5,hk_prospectus,new,827,1170,967590,104365,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_prospectus_new_03516_2026-09-18_p5.jpg,hk_prospectus_new_03516_2026-09-18,5,hk_prospectus,new,2481,3508,8703348,302444,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_prospectus_new_03516_2026-09-18_p5.png,hk_prospectus_new_03516_2026-09-18,5,hk_prospectus,new,2481,3508,8703348,748807,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_prospectus_new_03516_2026-09-18_p5.png,hk_prospectus_new_03516_2026-09-18,5,hk_prospectus,new,1241,1754,2176714,3859920,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_prospectus_new_03516_2026-09-18_p131.png,hk_prospectus_new_03516_2026-09-18,131,hk_prospectus,new,1241,1754,2176714,59036,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_prospectus_new_03516_2026-09-18_p131.png,hk_prospectus_new_03516_2026-09-18,131,hk_prospectus,new,827,1170,967590,37842,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_prospectus_new_03516_2026-09-18_p131.jpg,hk_prospectus_new_03516_2026-09-18,131,hk_prospectus,new,2481,3508,8703348,189857,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_prospectus_new_03516_2026-09-18_p131.png,hk_prospectus_new_03516_2026-09-18,131,hk_prospectus,new,2481,3508,8703348,280393,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_prospectus_new_03516_2026-09-18_p131.png,hk_prospectus_new_03516_2026-09-18,131,hk_prospectus,new,1241,1754,2176714,3722828,data/corpus/hk_prospectus/hk_prospectus_new_03516_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_prospectus_old_03132_2025-08-15_p54.png,hk_prospectus_old_03132_2025-08-15,54,hk_prospectus,old,1275,1650,2103750,386327,data/corpus/hk_prospectus/hk_prospectus_old_03132_2025-08-15.pdf
dpi100,data/perturbed/dpi100/hk_prospectus_old_03132_2025-08-15_p54.png,hk_prospectus_old_03132_2025-08-15,54,hk_prospectus,old,850,1100,935000,229405,data/corpus/hk_prospectus/hk_prospectus_old_03132_2025-08-15.pdf
jpeg30,data/perturbed/jpeg30/hk_prospectus_old_03132_2025-08-15_p54.jpg,hk_prospectus_old_03132_2025-08-15,54,hk_prospectus,old,2550,3300,8415000,484427,data/corpus/hk_prospectus/hk_prospectus_old_03132_2025-08-15.pdf
rot2,data/perturbed/rot2/hk_prospectus_old_03132_2025-08-15_p54.png,hk_prospectus_old_03132_2025-08-15,54,hk_prospectus,old,2550,3300,8415000,1779800,data/corpus/hk_prospectus/hk_prospectus_old_03132_2025-08-15.pdf
photocopy,data/perturbed/photocopy/hk_prospectus_old_03132_2025-08-15_p54.png,hk_prospectus_old_03132_2025-08-15,54,hk_prospectus,old,1275,1650,2103750,4026987,data/corpus/hk_prospectus/hk_prospectus_old_03132_2025-08-15.pdf
dpi150,data/perturbed/dpi150/hk_prospectus_old_03423_2025-08-27_p5.png,hk_prospectus_old_03423_2025-08-27,5,hk_prospectus,old,1241,1754,2176714,140512,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
dpi100,data/perturbed/dpi100/hk_prospectus_old_03423_2025-08-27_p5.png,hk_prospectus_old_03423_2025-08-27,5,hk_prospectus,old,827,1170,967590,88053,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
jpeg30,data/perturbed/jpeg30/hk_prospectus_old_03423_2025-08-27_p5.jpg,hk_prospectus_old_03423_2025-08-27,5,hk_prospectus,old,2481,3508,8703348,274559,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
rot2,data/perturbed/rot2/hk_prospectus_old_03423_2025-08-27_p5.png,hk_prospectus_old_03423_2025-08-27,5,hk_prospectus,old,2481,3508,8703348,637246,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
photocopy,data/perturbed/photocopy/hk_prospectus_old_03423_2025-08-27_p5.png,hk_prospectus_old_03423_2025-08-27,5,hk_prospectus,old,1241,1754,2176714,3833576,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
dpi150,data/perturbed/dpi150/hk_prospectus_old_03423_2025-08-27_p75.png,hk_prospectus_old_03423_2025-08-27,75,hk_prospectus,old,1241,1754,2176714,50504,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
dpi100,data/perturbed/dpi100/hk_prospectus_old_03423_2025-08-27_p75.png,hk_prospectus_old_03423_2025-08-27,75,hk_prospectus,old,827,1170,967590,31334,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
jpeg30,data/perturbed/jpeg30/hk_prospectus_old_03423_2025-08-27_p75.jpg,hk_prospectus_old_03423_2025-08-27,75,hk_prospectus,old,2481,3508,8703348,179650,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
rot2,data/perturbed/rot2/hk_prospectus_old_03423_2025-08-27_p75.png,hk_prospectus_old_03423_2025-08-27,75,hk_prospectus,old,2481,3508,8703348,237696,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
photocopy,data/perturbed/photocopy/hk_prospectus_old_03423_2025-08-27_p75.png,hk_prospectus_old_03423_2025-08-27,75,hk_prospectus,old,1241,1754,2176714,3707994,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
dpi150,data/perturbed/dpi150/hk_prospectus_old_03423_2025-08-27_p127.png,hk_prospectus_old_03423_2025-08-27,127,hk_prospectus,old,1241,1754,2176714,56876,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
dpi100,data/perturbed/dpi100/hk_prospectus_old_03423_2025-08-27_p127.png,hk_prospectus_old_03423_2025-08-27,127,hk_prospectus,old,827,1170,967590,38051,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
jpeg30,data/perturbed/jpeg30/hk_prospectus_old_03423_2025-08-27_p127.jpg,hk_prospectus_old_03423_2025-08-27,127,hk_prospectus,old,2481,3508,8703348,187948,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
rot2,data/perturbed/rot2/hk_prospectus_old_03423_2025-08-27_p127.png,hk_prospectus_old_03423_2025-08-27,127,hk_prospectus,old,2481,3508,8703348,279356,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
photocopy,data/perturbed/photocopy/hk_prospectus_old_03423_2025-08-27_p127.png,hk_prospectus_old_03423_2025-08-27,127,hk_prospectus,old,1241,1754,2176714,3722063,data/corpus/hk_prospectus/hk_prospectus_old_03423_2025-08-27.pdf
